"","Date","Blast.Day.Type","Holiday.Type","Time","City","Latitude","Longitude","Province","Location","Location.Category","Location.Sensitivity","Influencing.Event.Event","Target.Type","Targeted.Sect.if.any","Total.Died.Min","Total.Died.Max","Injured.Min","Injured.Max","No..of.Suicide.Blasts","Temperature.C.","Temperature.F.","Is_Suicide","Is_Drone"
"11","Wednesday-July 28-2004","Working Day","","8:50:PM","Kohat",33.5833,71.4333,"KPK","Near military facility/official Residence of General Officer Commanding","Residence","High","Army","Military","None",2,3,NA,"3","2",32.43,90.374,1,0
"12","Friday-July 30-2004","Working Day","","7:20 PM","Attock ",33.7645,72.3667,"Punjab"," Mr Aziz election rally in jaffar village in fateh jang","Park/Ground","Low","Election rally ","Government Official","None",NA,7,44,"70","1",26.665,79.997,1,0
"13","Friday-October 1-2004","Working Day","","1:27 PM/1:25 PM","Sialkot",32.4972,74.5361,"Punjab","zainabia mosque-just a Km away from city police station on Raja road","Religious","Medium","Friday prayer","Religious","shiite",25,31,50,"75","1",27.51,81.518,1,0
"14","Sunday-October 10-2004","Holiday","Weekend","5:55:00/6:40:00 PM","Lahore ",31.5451,74.3407,"Punjab","Jamia Masjid Kashmirian in Mochi Gate","Religious","Medium","Jamia Masjid /Shia Mosque","Religious","shiite",4,5,6,"10","1",24.39,75.902,1,0
"15","Saturday-March 19-2005","Working Day","","11.45PM /10.30 pm","Quetta",30.2095,67.0182,"Baluchistan","Gandava Town Shrine","Religious","Medium","Urs Ceremony","Religious","Shiite",25,50,8,"100","1",16.5,61.7,1,0
"16","Thursday-April 28-2005","Working Day","","N/A","Swat",35.2227,72.4258,"KPK","Baidara village of Matta-District Swat ","Park/Ground","Low",NA,"civilian","None",NA,2,NA,"","1",19.935,67.883,1,0
"17","Friday-May 27-2005","Working Day","","11:00:00 AM","Islamabad",33.718,73.0718,"Capital","Shrine of Bari Imam","Religious","Medium","Shia Muslim Annual 
Congregation ","Civilian","Shiite/sunni",20,25,82,"100","1",27.16,80.888,1,0
"18","Monday-May 30-2005","Working Day","","evening","Karachi ",24.9918,66.9911,"Sindh","Courtyard of an Imambargah(Madinatul Ilm ) in Gulshan e Iqbal ","Religious","Medium","evening prayer","Religious","shiite",5,6,19,"30","1",31.945,89.501,1,0
"19","Thursday-February 9-2006","Holiday","Ashura","9:35:00 AM","Hangu",33.5351,71.0713,"KPK","Hangu-Tall road-Ashura Procession","Park/Ground","Low","Ashura Day","Religious","Shiite",37,40,90,"","1",15.495,59.891,1,0
"20","Thursday-March 2-2006","Working Day","","9:00:00 AM","Karachi",24.9918,66.9911,"Sindh","Infront of USA consulate near marriott hotel","Hotel","Medium","Terrorists attacked convoy of david foy-american diplomat.","Foreigner","Christian",4,5,30,"54","1",25.3,77.54,1,0
"21","Wednesday-April 12-2006","Holiday","Eid Milad un-Nabi","7.00 pm","Karachi ",24.9918,66.9911,"Sindh","Nishter Park ","Park/Ground","Medium","Eid Miladun Nabi","Religious","Sunni",47,57,NA,"100","1",28.415,83.147,1,0
"22","Friday-June 2-2006","Working Day","","10.30 am","Bannu",32.9861,70.6042,"KPK","Bakkahel Area of FR Bannu","Mobile","High","Army convoy ","Military","None",6,7,7,"8","1",26.125,79.025,1,0
"23","Monday-June 26-2006","Working Day","","3:30:00 PM","North Waziristan",32.9746,70.1456,"FATA","Aisha Checkpoint-10km East of 
Miranshah","Military","High",NA,"Military","None",6,7,NA,"26","1",28.61,83.498,1,0
"24","Sunday-August 6-2006","Holiday","Weekend","8.00 am","Lasbela",25.8377,66.5224,"Baluchistan","Zehri Street-Main Market
Hub","Market","Low",NA,"Civilian","None",NA,1,NA,"0","1",27.5,81.5,1,0
"25","Wednesday-November 8-2006","Working Day","","8.30am","Malakand ",34.503,71.9046,"KPK","Dargai Military Base-100km north of Peshawar","Military","High","Recruits parade","Military","None",40,42,20,"39","1",19.205,66.569,1,0
"26","Friday-November 17-2006","Working Day","","7.30 am/7:15AM","Peshawar",34.0043,71.5448,"KPK","Fayaz Khalil Shaheed
Chowk","Mobile","High","police van","Police","None",NA,1,NA,"2","1",17.275,63.095,1,0
"27","Sunday-December 3-2006","Holiday","Weekend","N/A","Bannu",32.9861,70.6042,"KPK","Speen Tangi-kohat bannu road","Police","High",NA,"Police","None",NA,1,NA,"1","1",4.705,40.469,1,0
"28","Monday-January 22-2007","Working Day","","10:30:00 AM","North Waziristan",32.9746,70.1456,"FATA","Miltary convoy near Mir ali north
Wazirstan ","Mobile","High","Military convoy","Military","None",4,5,23,"25","1",2.325,36.185,1,0
"29","Friday-January 26-2007","Working Day","","2:37:00 PM","Islamabad",33.718,73.0718,"Capital","Islamabad Marriott Hotal ","Hotel","Medium","Indian High Commission Function","Foreigner","None",1,2,5,"7","1",16.3,61.34,1,0
"30","Saturday-January 27-2007","Working Day","","8:40:00 PM","Peshawar ",34.0043,71.5448,"KPK","near Mosque in QissaKhawani Bazaar","Religious","Medium","Muharram procession about to start","Civilian","shiite",13,15,30,"60","1",15.165,59.297,1,0
"31","Monday-January 29-2007","Holiday","Ashura","N/A","D.I Khan ",31.8238,70.9095,"KPK","Checkpost Dera Ismial Khan ","Police","High","Muharram procession","Civilian","shiite",2,3,NA,"7","1",17.745,63.941,1,0
"32","Saturday-February 3-2007","Working Day","","6:17:00 AM","Lakki Marwat",32.6018,70.9148,"KPK","Ghazanikhel Market 
Laik marwat","Market","Low","","Civilian","None",NA,1,NA,"","1",17.52,63.536,1,0
"33","Saturday-February 3-2007","Working Day","","12:15:00 PM","Tank",31.8238,70.9095,"KPK","Military Convoy Barakhel area-tank","Mobile","High","Military convoy","Military","None",NA,2,7,"8","1",19.935,67.883,1,0
"34","Tuesday-February 6-2007","Working Day","","8:50:00 PM/9:10 PM","Islamabad ",33.718,73.0718,"Capital","Islamabad Airport ","Airport","High","","Civilian","None",NA,1,3,"10","1",16.635,61.943,1,0
"35","Saturday-February 17-2007","Working Day","","11:05:00 AM","Quetta ",30.2095,67.0182,"Baluchistan","Quetta District court senior civil
 judge District Court","Government","High","","Civilian","None",16,17,30,"35","1",8.72,47.696,1,0
"36","Thursday-March 29-2007","Working Day","","11:45 AM","Gujrat",32.5737,74.0786,"Punjab","Army training area guliana 
near Kharian Contonment","Military","High","","Military","None",1,2,6,"8","1",25.595,78.071,1,0
"37","Saturday-April 28-2007","Working Day","","6:55 PM","Charsadda",34.1509,71.7359,"KPK","Federal Interior Minister Speech 
rallyy hometown Charsadda","Park/Ground","Low","Rally Charsadda ","Government Official","None",25,35,29,"60","1",28.055,82.499,1,0
"38","Tuesday-May 15-2007","Working Day","","12:55:00 PM","Peshawar ",34.0043,71.5448,"KPK","Peshawar Hotel ","Hotel","Medium","","Foreigner","Sunni",22,26,12,"35","1",31.1,87.98,1,0
"39","Monday-May 28-2007","Working Day","","About 12pm","Tank ",32.226,70.3761,"KPK","Boltonabad aera","Mobile","High","rammed the vehicle into FC vehicle","Military","None",NA,3,NA,"2","1",24.935,76.883,1,0
"40","Wednesday-July 4-2007","Working Day","","10:25am","North Waziristan",32.9746,70.1456,"FATA","Miltary convoy in bannu Gurbaz area","Mobile","High","Military convoy","Military","None",8,10,9,"12","1",26.975,80.555,1,0
"41","Thursday-July 12-2007","Working Day","","N/A","Swat ",35.2227,72.4258,"KPK","Security Force convoy in mingora","Mobile","High","Military convoy","Military","None",6,7,4,"8","1",31.74,89.132,1,0
"42","Thursday-July 12-2007","Working Day","","4:30:00 PM","North Waziristan",32.9746,70.1456,"FATA","Political Agent Office in Miranshah","Government","High","","Government official","None",2,4,NA,"3","1",31.39,88.502,1,0
"43","Saturday-July 14-2007","Working Day","","2:00:00 PM","North Waziristan",32.9746,70.1456,"FATA","Razmak town’s Daznaray area-20kms to the north of Miramshah","Mobile","High","Frontier Constabulary convoy","Military","None",23,24,26,"29","1",26.02,78.836,1,0
"44","Sunday-July 15-2007","Holiday","Weekend","3:30 PM-4:00:00 PM/4:15PM","D.I Khan",31.8238,70.9095,"KPK","police recruitment center","Police","High","recruitment process in progress","Police","None",25,30,50,"61","1",28.82,83.876,1,0
"45","Sunday-July 15-2007","Holiday","Weekend","between 7:00-7:40 AM","Swat ",35.2227,72.4258,"KPK","Matta","Mobile","High","police bus going from Kabal to Matta","Police","None",17,20,40,"47","1",27.255,81.059,1,0
"46","Tuesday-July 17-2007","Working Day","","8:27:00 AM","Islamabad ",33.718,73.0718,"Capital","outside the venue of distric bar convention council Islamabad ","Government","High","Chief Justice Iftikhar muhammad ch had to address overthere","Government official","None",16,17,50,"70","1",28.875,83.975,1,0
"47","Tuesday-July 17-2007","Working Day","","1:30:00 PM","North Waziristan",32.9746,70.1456,"FATA","Security check post Miramshah 
North Wazirstan ","Military","High","","Military","None",NA,4,2,"3","1",26.945,80.501,1,0
"48","Thursday-July 19-2007","Working Day","","8:40:00 AM","Lasbela",25.8377,66.5224,"Baluchistan","Industrial town hub baluchistan ","Mobile","High","chinese engineers were going from Karachi to Hub","Foreigner","Christian",28,30,28,"50","1",32.395,90.311,1,0
"49","Thursday-July 19-2007","Working Day","","7:50:00 AM","Hangu",33.5351,71.0713,"KPK","Training Center in Hangu","Police","High","","Police","None",6,8,30,"35","1",30.735,87.323,1,0
"50","Thursday-July 19-2007","Working Day","","N/A","Kohat ",33.5833,71.4333,"KPK","Kohat Mosque ","Religious","Medium","","Religious","Sunni",15,20,8,"58","1",30.275,86.495,1,0
"51","Friday-July 20-2007","Working Day","","12:30:00 PM/11:00AM","North Waziristan",32.9746,70.1456,"FATA","Security check post Miramshah 
North Wazirstan ","Military","High","","Military","None",NA,4,5,"6","1",28.375,83.075,1,0
"52","Friday-July 27-2007","Working Day","","5:25 PM","Islamabad ",33.718,73.0718,"Capital","near Hotel in Abpara market","Hotel","Medium","","Police","None",14,15,50,"70","1",26.39,79.502,1,0
"53","Friday-August 3-2007","Working Day","","Night","Swat ",35.2227,72.4258,"KPK","District Swat gora village matta","Mobile","Low","","civilian","None",NA,2,5,"6","1",28.01,82.418,1,0
"54","Saturday-August 4-2007","Working Day","","10:30am","Kuram Agency ",32.9746,70.1456,"FATA","Parachinar","Transport","Low","","civilian","Sunni",9,23,35,"43","1",25.835,78.503,1,0
"55","Friday-August 17-2007","Working Day","",NA,"Tank",32.226,70.3761,"KPK"," Military Convoys in Tank district","Mobile","High","","Military","None",NA,NA,3,"5","1",26.185,79.133,1,0
"56","Sunday-August 19-2007","Holiday","Weekend",NA,"North Waziristan",32.9746,70.1456,"FATA","North Wazirstan Mirali Military
 checkpost ","Military","High","","Military","None",NA,2,NA,"2","1",29.01,84.218,1,0
"57","Sunday-August 19-2007","Holiday","Weekend",NA,"Bannu",32.9861,70.6042,"KPK","Bannu Police Check post ","Police","High","","Police","None",NA,1,NA,"4","1",29.965,85.937,1,0
"58","Monday-August 20-2007","Working Day","","9:00:00 AM","Hangu",33.5351,71.0713,"KPK","Checkpost on thall-parachinar road/kurram road
 mandori village ","Military","High","","Military","None",3,7,14,"18","1",27.195,80.951,1,0
"59","Friday-August 24-2007","Working Day","",NA,"North Waziristan",32.9746,70.1456,"FATA","miranshah Military convoys ","Mobile","High","military convoy","Military","None",6,7,22,"37","2",28.365,83.057,1,0
"60","Sunday-August 26-2007","Holiday","Weekend",NA,"Shangla ",34.8015,72.757,"KPK","Machaar area of Shangla District ","Police","High","","police","None",NA,4,NA,"2","1",27.475,81.455,1,0
"61","Saturday-September 1-2007","Working Day","","10:00:00 AM","Bajaur Agency",34.8718,71.5249,"FATA","Truck carrying security personeel was attacked in Mamond area","Mobile","High","truck carrying security personnel","Military","None",3,7,4,"9","1",28.84,83.912,1,0
"62","Saturday-September 1-2007","Working Day","","","South Waziristan",32.3202,69.8597,"FATA","check-post of the troops in the Jandola area of South Waziristan.","Military","High","","Military","None",NA,0,NA,"","1",29.58,85.244,1,0
"63","Tuesday-September 4-2007","Working Day","","7:15:00 AM","Rawalpindi",33.6058,73.0437,"Punjab","1.Qasim Market Defence Ministry Bus","Mobile","High","","Military","None",18,25,NA,"","2",27.15,80.87,1,0
"64","Tuesday-September 4-2007","Working Day","","7:15:00 AM","Rawalpindi",33.6058,73.0437,"Punjab","Near R.A Bazar behind general Headquarters ","Market","Low","","Military","None",NA,7,NA,"","1",27.15,80.87,1,0
"65","Tuesday-September 11-2007","Working Day","",NA,"D.I Khan",31.8238,70.9095,"KPK","Passanger van at Bannu adda/chungi","Mobile","Low","","Civilian","None",17,19,16,"19","1",30.815,87.467,1,0
"66","Thursday-September 13-2007","Working Day","","7:15:00 PM","Haripur",34.0011,72.9372,"KPK","army officers mess in Tarbela ghazi","Military","High"," military convoy","Military","None",15,20,11,"46","1",26.975,80.555,1,0
"67","Saturday-September 22-2007","Working Day","","2:00:00 AM","Tank",32.226,70.3761,"KPK","military convoy going from Tank","Mobile","High"," ","Military","None",NA,5,3,"10","1",24.705,76.469,1,0
"68","Monday-October 1-2007","Working Day","","8:30:00 AM","bannu",32.9861,70.6042,"KPK","checkpost near Dawa bridge/Durani Abshar Chowk","Police","High","N/A","police","None",NA,16,29,"32","1",24.57,76.226,1,0
"69","Thursday-October 18-2007","Working Day","","12:00 mid night","karachi ",24.9918,66.9911,"Sindh","Benazir Survives midnight 
carnage Karsaz bridge Sharea Faisal","Mobile","High","Rally ppp","Government Official","None",125,145,100,"550","2",28.025,82.445,1,0
"70","Thursday-October 25-2007","Working Day","","2:45:00 PM","Swat",35.2227,72.4258,"KPK","Mingora Police Line ","Mobile","High","","Military","None",20,38,28,"35","1",21.025,69.845,1,0
"71","Tuesday-October 30-2007","Working Day","","11:50:00 AM","Rawalpindi",33.6058,73.0437,"Punjab","Rawalpindi police checkpoint 
security zone","Police","High","","Military","None",7,8,18,"31","1",20.905,69.629,1,0
"72","Thursday-November 1-2007","Working Day","","7:10:00 AM","Sargodha",32.0791,72.6718,"Punjab","PAF Bus on faisalabad road-Sargodha ","Mobile","High","PAF Bus","Military","None",8,10,27,"40","1",20.82,69.476,1,0
"73","Friday-November 9-2007","Holiday","Iqbal Day","4:15:00 PM","Peshawar",34.0043,71.5448,"KPK","Peshawar  Federal minister 
political amir muqam house","Residence","Low","Political Affairs meeting","Government Official","None",3,4,2,"5","1",19.445,67.001,1,0
"74","Saturday-November 24-2007","Working Day","","7:40:00 AM","Rawalpindi",33.6058,73.0437,"Punjab","Bus carrying ISI officals parked outside Hamza Camp faizabad ","Mobile","High","Hamza camp","Military","None",17,38,NA,"35","1",15.555,59.999,1,0
"75","Saturday-November 24-2007","Working Day","","7:50:00 AM","Rawalpindi",33.6058,73.0437,"Punjab","GHQ","Military","High","","Military","None",NA,1,2,"5","1",15.555,59.999,1,0
"76","Tuesday-December 4-2007","Working Day","",NA,"Peshawar",34.0043,71.5448,"KPK","Checkpost high-security cantonment area babar road","Military","High","","Military","None",NA,1,NA,"0","1",14.73,58.514,1,0
"77","Sunday-December 9-2007","Holiday","Weekend","11:15:00 AM/12:30 PM","Swat",35.2227,72.4258,"KPK","Ningolai Security checkpost","Police","High","","Police","None",10,13,NA,"2","1",11.925,53.465,1,0
"78","Monday-December 10-2007","Working Day","","7:24:00 AM/7:30AM","Attock ",33.7645,72.3667,"Punjab","Truck carrying school children near Fauji gate Pakistan Aeranautical Complex","Mobile","Low","","Children/Women","None",NA,0,7,"22","1",12.13,53.834,1,0
"79","Thursday-December 13-2007","Working Day","","4:50:00 PM","Quetta ",30.2095,67.0182,"Baluchistan","military Checkpost ","Military","High","","Military","None",5,12,22,"23","2",4.16,39.488,1,0
"80","Saturday-December 15-2007","Working Day","","9:25:00 AM","Nowshehra",34.0322,73.0944,"KPK","Noshera security check post","Military","High","","Military","None",5,6,11,"20","1",9.515,49.127,1,0
"81","Monday-December 17-2007","Working Day","","12:30:00 PM","Kohat",33.5833,71.4333,"KPK","kohat cantt-fountain round about-near army public school","Military","High","recruits returning to barracks after morning exercise","Military","None",NA,12,2,"5","1",11.345,52.421,1,0
"82","Friday-December 21-2007","Holiday","Eid-ul-azha",NA,"Charsadda ",34.1509,71.7359,"KPK","Charsadda Jamiya Masjid ","Religious","Medium","Masjid","Civilian","Sunni",NA,60,NA,"200","1",15,59,1,0
"83","Sunday-December 23-2007","Holiday","Weekend","6:00:00 PM","Swat",35.2227,72.4258,"KPK","military convoy hit in mingora","Mobile","High","","Military","None",9,14,NA,"23","1",12.76,54.968,1,0
"84","Thursday-December 27-2007","Working Day","","5:10:00 PM","Rawalpindi",33.6058,73.0437,"Punjab","Rawalpindi Liaquat Bagh Park","Park/Ground","Low","attack on Benazir Bhutto","Government official","None",21,30,48,"70","1",10.21,50.378,1,0
"85","Monday-January 7-2008","Working Day","","11:15:00 AM","Swat",35.2227,72.4258,"KPK","infront of frontier house kabal","Military","High","Security forces ","Military","None",NA,NA,12,"13","1",6.77,44.186,1,0
"86","Thursday-January 10-2008","Working Day","","11:40:00 AM","Lahore ",31.5451,74.3407,"Punjab","Lahore High court ","Government","High","lawyers protest rally was about to start. All of them were present inside the court. Bomber targeted the police officials outside the court","Police","None",24,26,73,"80","1",13.89,57.002,1,0
"87","Tuesday-January 15-2008","Working Day","","10:30:00 AM","Mohmand agency",32.9746,70.1456,"FATA","checkpoint of security forces in Khapakh Kando near Ghalanai","Military","High","Frontier Constabulary","Military","None",1,1,NA,"","1",5.145,41.261,1,0
"88","Thursday-January 17-2008","Working Day","","6:00:00 PM/6:55PM","Peshawar",34.0043,71.5448,"KPK","Mirza Qasim baig Imambargah Jangi Mohallah-kohati","Religious","Medium","Imambargah","Religious","shiite",10,12,NA,"25","1",12.34,54.212,1,0
"89","Friday-February 1-2008","Working Day","","4:30:00 PM","North Waziristan",32.9746,70.1456,"FATA","Kajhori checkpost north waziristan","Police","High","Checkpost ","Police","None",5,7,13,"15","1",2.475,36.455,1,0
"90","Monday-February 4-2008","Working Day","","7:24:00 AM/7:25AM/7:30 AM","Rawalpindi",33.6058,73.0437,"Punjab","Infront of NLC office near GHQ Rwp","Mobile","High","bus carrying students and officials of army medical college-","Military","None",8,10,27,"47","1",8.42,47.156,1,0
"91","Tuesday-February 5-2008","Working Day","","NA ","Quetta ",30.2095,67.0182,"Baluchistan","Quetta Khilji Conlony","Park/Ground","Low","Khilji colony","Civilian","None",NA,1,NA,"1","1",-2.37,27.734,1,0
"92","Saturday-February 9-2008","Working Day","","NA ","Charsadda ",34.1509,71.7359,"KPK","Nakai in charsadda","Residence","Low","Awami National Party meeting was in progress","Government Official","None",25,27,35,"51","1",7.935,46.283,1,0
"93","Monday-February 11-2008","Working Day","","12:55:00 PM","North Waziristan",32.9746,70.1456,"FATA","Aidak village in mirali-near miranshah","Religious","Low","ANP gathring","Government official","None",6,10,9,"13","1",2.245,36.041,1,0
"94","Saturday-February 16-2008","Working Day","",NA,"Swat",35.2227,72.4258,"KPK","Mingora-army media center on saidu sharif road","Military","High","army media center and base near Gul Kadda","Military","None",2,3,14,"18","1",12.725,54.905,1,0
"95","Saturday-February 16-2008","Working Day","","evening","Kuram Agency ",35.2227,72.4258,"FATA","PPP election office in Eidgah market of Parachinar bazar","Government","High","","Government official","None",38,47,109,"110","1",12.725,54.905,1,0
"96","Monday-February 25-2008","Working Day","","2:45:00 PM","Rawalpindi",33.6058,73.0437,"Punjab","Rawalpindi-R.A bazar mall road Sadar-nadira suift center","Mobile","High","near Surgeon-gernal car on signal","Military","None",NA,8,20,"30","1",14.47,58.046,1,0
"97","Friday-February 29-2008","Working Day","","8:00 PM","Swat",32.935,70.6688,"KPK","Swat Mingora DSP Funeral","Park/Ground","Low","","Police","None",38,45,40,"100","1",19.85,67.73,1,0
"98","Saturday-March 1-2008","Working Day","",NA,"Bajaur Agency",34.8718,71.5249,"FATA","Khar-jardar area","Mobile","High","","Military","None",NA,2,NA,"23","1",19.375,66.875,1,0
"99","Sunday-March 2-2008","Holiday","Weekend","11:00:00 AM","Dara Adam Khel",33.6854,71.5131,"KPK","Dara adamkhel Jirga ","Park/Ground","Low","peace Jirga ","Anti-Militants","None",40,43,50,"60","1",19.455,67.019,1,0
"100","Tuesday-March 4-2008","Working Day","","1:05PM","Lahore ",31.5451,74.3407,"Punjab","Navy war college mall road lahore","Military","High","Navy college ","Military","None",4,8,15,"24","2",20.655,69.179,1,0
"101","Tuesday-March 11-2008","Working Day","","9:15 AM to 9:20:00 AM","Lahore ",31.5451,74.3407,"Punjab","FIA building Temple road near The Mall-near regal chowk","Government","High","","Government Official","None",26,31,175,"200","1",21.295,70.331,1,0
"102","Tuesday-March 11-2008","Working Day","","9:20:00 AM","Lahore ",31.5451,74.3407,"Punjab","Bungalow no 83/F Model Town-an advertising agency office","Residence","Low","","Civilian","None",3,6,NA,"12","1",21.295,70.331,1,0
"103","Monday-March 17-2008","Working Day","",NA,"Swat",35.2227,72.4258,"KPK","Mingora police Lines ","Police","High","","Police","None",2,3,5,"7","1",22.5,72.5,1,0
"104","Thursday-March 20-2008","Holiday","Eid Milad un-Nabi","3:00 PM","South Waziristan",32.3202,69.8597,"FATA","Army Camp at Zari noor-Wana","Military","High","","Military","None",NA,5,9,"11","1",18.655,65.579,1,0
"105","Thursday-May 1-2008","Holiday","Labour Day","Thursday Morning","Khyber Agency",34.0211,71.2874,"FATA","Takia-Bar Qambarkhel Mosque","Religious","Medium","","Religious","Sunni",NA,2,17,"30","1",28.985,84.173,1,0
"106","Tuesday-May 6-2008","Working Day","","8:40:00 AM/9:30:00 AM","Bannu",32.935,70.6688,"KPK","Bannu police  check post","Police","High","","Police","None",3,7,10,"15","1",28.62,83.516,1,0
"107","Friday-May 9-2008","Working Day","","Friday Night","Swat",35.2227,72.4258,"KPK","Mingora police Station ","Police","High","","Police","None",NA,1,3,"4","1",23.985,75.173,1,0
"108","Sunday-May 18-2008","Holiday","Weekend","8:00:00 PM","Mardan",34.1982,72.0444,"KPK","Military run bakery near a punjab regiment center in Mardan cantt","Military","High","","Military","None",11,13,23,"25","1",29.61,85.298,1,0
"109","Monday-June 2-2008","Working Day","","1:00:00 PM/1:05PM","Islamabad",33.718,73.0718,"Capital","Islamabad Danish Embassy","Foreign","High","","Foreigner","Jews",NA,8,25,"30","1",26.5,79.7,1,0
"110","Sunday-July 6-2008","Holiday","Weekend","7:50:00/7:45:00 PM","Islamabad",33.718,73.0718,"Capital","Melody market near lal masjid","Market","Low","","Police","None",15,20,20,"47","1",26.86,80.348,1,0
"111","Sunday-July 13-2008","Holiday","Weekend",NA,"D.I Khan",31.8238,70.9095,"KPK","Shiite gathering -Near kotli imam Hussain","Religious","Medium","","Religious","Shiite",NA,1,3,"4","1",31.075,87.935,1,0
"112","Wednesday-August 13-2008","Working Day","","11:35:00 PM","Lahore ",31.5451,74.3407,"Punjab","neaar Iqbal Town police Station Lahore at dubai CHOWK SIGNAL","Police","High","","Police","None",8,9,20,"35","1",25.835,78.503,1,0
"113","Tuesday-August 19-2008","Working Day","","1:30:00 PM","D.I Khan",31.8238,70.9095,"KPK","Distric headquarter hospital","Hospital","Low","during the shiite protest against the death of shiite govt official","Civilian","Shiite",30,32,33,"55","1",31.495,88.691,1,0
"114","Thursday-August 21-2008","Working Day","","2:37:00 PM","Rawalpindi",33.6058,73.0437,"Punjab","Wah Cant Pakistn Ordinance Factories ","Military","High","","Government Official","None",70,100,67,"200","2",28.89,84.002,1,0
"115","Saturday-August 23-2008","Working Day","","7:45:00 AM","Swat",35.2227,72.4258,"KPK","Charbagh checkpost","Police","High","","Police","None",7,15,NA,"20","1",25.69,78.242,1,0
"116","Friday-August 29-2008","Working Day","","7:00:00 AM","Kohat",33.5833,71.4333,"KPK","army base camp/emergency center near Kohat tunnel","Military","High","","Military","None",2,5,25,"39","1",27.705,81.869,1,0
"117","Saturday-September 6-2008","Working Day","",NA,"Peshawar",34.0043,71.5448,"KPK","Zangali Checkpost on kohat road","Police","High","","Police","None",30,35,70,"90","1",23.44,74.192,1,0
"118","Tuesday-September 16-2008","Working Day","","Half hour after aftar","Swat",35.2227,72.4258,"KPK","Kabal check post ","Police","High","","Police","None",2,10,NA,"25","1",25.95,78.71,1,0
"119","Saturday-September 20-2008","Working Day","",NA,"North waziristan",32.9746,70.1456,"KPK","military convoy on Miranshah road near Norak","Mobile","High","","Military","None",7,17,5,"20","1",22.06,71.708,1,0
"120","Saturday-September 20-2008","Working Day","","8:05:00 PM","Islamabad",33.718,73.0718,"Capital","Islamabad Marriott Hotal ","Hotel","Medium","","Foreigner","None",40,60,200,"300","1",24.41,75.938,1,0
"121","Monday-September 22-2008","Working Day","",NA,"Swat",35.2227,72.4258,"KPK","military security checkpost in Madian Town swat","Military","High","","Military","None",9,13,2,"3","1",21.005,69.809,1,0
"122","Wednesday-September 24-2008","Working Day","",NA,"Quetta",30.2095,67.0182,"Baluchistan","Quetta cantt military Check post ","Military","High","","Military","None",1,14,22,"25","1",23.225,73.805,1,0
"123","Friday-October 3-2008","Holiday","Eid-ul-Fitar","4:00:00 PM","Peshawar",34.0043,71.5448,"KPK","wali bagh charsadda","Residence","Medium","","Government Official","None",4,5,NA,"18","1",29.445,85.001,1,0
