"","�..eventid","iyear","imonth","iday","approxdate","extended","resolution","country","country_txt","region","region_txt","provstate","city","latitude","longitude","specificity","vicinity","location","summary","crit1","crit2","crit3","doubtterr","alternative","alternative_txt","multiple","success","suicide","attacktype1","attacktype1_txt","attacktype2","attacktype2_txt","attacktype3","attacktype3_txt","targtype1","targtype1_txt","targsubtype1","targsubtype1_txt","corp1","target1","natlty1","natlty1_txt","targtype2","targtype2_txt","targsubtype2","targsubtype2_txt","corp2","target2","natlty2","natlty2_txt","targtype3","targtype3_txt","targsubtype3","targsubtype3_txt","corp3","target3","natlty3","natlty3_txt","gname","gsubname","gname2","gsubname2","gname3","ingroup","ingroup2","ingroup3","gsubname3","motive","guncertain1","guncertain2","guncertain3","nperps","nperpcap","claimed","claimmode","claimmode_txt","claim2","claimmode2","claimmode2_txt","claim3","claimmode3","claimmode3_txt","compclaim","weaptype1","weaptype1_txt","weapsubtype1","weapsubtype1_txt","weaptype2","weaptype2_txt","weapsubtype2","weapsubtype2_txt","weaptype3","weaptype3_txt","weapsubtype3","weapsubtype3_txt","weaptype4","weaptype4_txt","weapsubtype4","weapsubtype4_txt","weapdetail","nkill","nkillus","nkillter","nwound","nwoundus","nwoundte","property","propextent","propextent_txt","propvalue","propcomment","ishostkid","nhostkid","nhostkidus","nhours","ndays","divert","kidhijcountry","ransom","ransomamt","ransomamtus","ransompaid","ransompaidus","ransomnote","hostkidoutcome","hostkidoutcome_txt","nreleased","addnotes","scite1","scite2","scite3","dbsource","INT_LOG","INT_IDEO","INT_MISC","INT_ANY","related"
"85868",200803170003,2008,3,17,"",0,"",153,"Pakistan",6,"South Asia","North-West Frontier Province","Swat district",34.767228,72.376782,3,0,"","03/17/2008:  A teen-age suicide bomber affiliated with suspected pro-taliban militants blew himself up at a police compound, killing two policemen and wounding another five in Swat Valley, Pakistan.",1,1,1,0,NA,".",0,1,1,3,"Bombing/Explosion",NA,".",NA,".",3,"Police",22,"Police Building (headquarters, station, school)","Pakistan Police","Swat Valley Police Compound",153,"Pakistan",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Other","","","","",20348,NA,NA,"","Unknown",0,NA,NA,1,0,0,NA,".",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",13,"Suicide (carried bodily by human being)",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","",3,0,1,5,0,0,-9,NA,".",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","""Cops killed in Swat suicide blast,” Pajhwok Afghan News, March 18, 2008","""Bomb blast in northwestern Pakistan kills up to three police,” Associated Press Worldstream, March 18, 2008.","""3rd Ld Blast in NW Pakistan kills 2” Xinhua General News Service, March 18, 2008.","CETIS",-9,-9,0,-9,""
"85926",200803200001,2008,3,20,"",0,"",153,"Pakistan",6,"South Asia","Federally Administered Tribal Areas","Wana",32.301964,69.590665,1,0,"","03/20/2008:  A suicide bomber loyal to a Pro-Taliban commander named Maulvi Nazir rammed his explosives-laden car into a military vehicle outside Wana army base in Pakistan killing five soldiers and wounding eleven.",1,1,1,1,1,"Insurgency/Guerilla Action",0,1,1,3,"Bombing/Explosion",NA,".",NA,".",4,"Military",27,"Military Barracks/Base/Headquarters/Checkpost","Pakistani Military","Wana Army Base",153,"Pakistan",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Tehrik-i-Taliban Pakistan (TTP)","","","","",20442,NA,NA,"","retaliation for a missile strike earlier in the week that killed at least 18 suspected insurgents loyal to a pro-Taliban commander",0,NA,NA,1,0,1,10,"Unknown",NA,NA,".",NA,NA,".",-9,6,"Explosives/Bombs/Dynamite",15,"Vehicle",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","",6,0,1,11,0,0,-9,NA,".",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","Laura King, “Five Pakistani soldiers die in suicide attack; The assault in the border region comes as Cheney visits Afghan President Karzai. They discuss extremism,” Los Angeles Times, March 21, 2008.","""Suicide blast at Wana army camp kills five,” The Nation, March 20, 2008 .","""Suicide blast kills five at Pakistan army camp: official,” Agence France Presse, March 20, 2008.","CETIS",0,0,0,0,""
"86121",200804050012,2008,4,5,"",0,"",153,"Pakistan",6,"South Asia","Punjab","Bahawalnagar district",29.688867,72.993668,3,0,"","4/5/2008: On Saturday, two suicide bombers functioned their devices prematurely killing only themselves in Bahawalnager, Punjab, Pakistan. Police then arrested eight alleged terrorists, including the groups leader Farooq Rajanpuri, and seized 45 kilograms of explosives. The alleged terrorists were targeting former religious affairs minister Ejaz-ul-Haq while he was campaigning.",1,1,1,0,NA,".",0,1,1,3,"Bombing/Explosion",NA,".",NA,".",2,"Government (General)",18,"Government Personnel (excluding police, military)","Pakistani Government","The former religious affairs minister Ejaz-ul-Haq",153,"Pakistan",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","The alleged terrorists were targeting former religious affairs minister Ejaz-ul-Haq while he was campaigning.",0,NA,NA,10,8,0,NA,".",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",13,"Suicide (carried bodily by human being)",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","Two suicide bombers detonated their devices prematurely.",2,0,2,0,0,0,-9,NA,".",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","China News, ""8 Terrorists Arrested in Pakistan,"" Xinhua, April 5, 2008.","Lexis Nexis, ""Distt (Bahawalnagar): Suicide Bombers Gang Arrested, Huge Explosive Recovered,"" Pakistan Newswire, April 6, 2008.","","ISVG",-9,-9,0,-9,""
"86555",200805010007,2008,5,1,"",0,"",153,"Pakistan",6,"South Asia","Federally Administered Tribal Areas","Khyber district",33.908578,71.070055,3,0,"At the Takia Chowk neighborhood of Khyber, Punjab, Pakistan.","05/01/2008: On Thursday, a suicide bomber attacked a pro-Taliban madrassa, wounding 30 people in Takia Chowk neighborhood of Khyber, Punjab, Pakistan. The young bomber stood up as people were handing out their contributions and pretending to offer a pistol when he exploded. No group claimed responsibility for the attack.",1,1,1,0,NA,".",0,1,1,3,"Bombing/Explosion",NA,".",NA,".",8,"Educational Institution",49,"School/University/Educational Building","","A pro-Taliban group at an Islamic seminary in Khyber",153,"Pakistan",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","The specific motive for the attack is unknown..",0,NA,NA,1,0,0,NA,".",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",13,"Suicide (carried bodily by human being)",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","A suicide bomber blew himself up.",1,0,1,30,0,0,1,3,"Minor (likely < $1 million)",-99,"A madrassa was damaged in this attack.",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","World News Connection, ""Local Officials Say 30 Injured in Northwest Pakistan Suicide Attack,"" Agence France Presse, May 1, 2008.","Lexis Nexis, ""Suicide Bomber Wounds 30 in Northwestern Pakistan,"" US Fed News, May 1, 2008.","","ISVG",-9,-9,0,-9,""
"87669",200807060019,2008,7,6,"",0,"",153,"Pakistan",6,"South Asia","Islamabad Capital Territory","Islamabad",33.708988,73.053857,1,0,"","07/06/2008:  On Sunday evening, around 1930, in Islamabad, Islamabad, Pakistan, in front of a police station, a suicide bomber approached a crowd of police officers and civilians and detonated the improvised explosive device strapped to his body, killing 15 police officers, four civilians, injuring 24 police officers, 16 civilians, and damaging the police station. No motive was reported and no group claimed responsibility.",1,1,1,0,NA,".",0,1,1,3,"Bombing/Explosion",NA,".",NA,".",3,"Police",22,"Police Building (headquarters, station, school)","Islamabad Law Enforcement","A police station",153,"Pakistan",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","The specific motive for the attack is unknown.",0,NA,NA,1,0,0,NA,".",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",13,"Suicide (carried bodily by human being)",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","A suicide improvised explosive device was used in the attack.",20,0,1,40,0,0,1,3,"Minor (likely < $1 million)",NA,"The attack caused an unknown amount of property damage.",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"The most recent available sources listed the fatalities for this attack from 17 to 20, and the injuries for this attack from 40 to 52, so the majority casualty figures have been used in order to preserve statistical accuracy in the database.","Business Recorder, ""Sixteen Policemen Among 19 Killed in Suicide Attack,"" Business Recorder, July 07, 2008.","CNN Cable News Network, ""Death Toll from Pakistan Rally Blast Rises to 17,"" CNN Cable News Network, July 07, 2008.","National Counterterrorism Center, ""Fifteen Police Officers, Four Civilians Killed, Twenty Four Police Officers, Sixteen Civilians Injured in Suicide IED Attack in Islamabad, Pakistan,"" Worldwide Incidents Tracking System, January 27, 2010.","ISVG",-9,-9,0,-9,""
"87794",200807130016,2008,7,13,"",0,"",153,"Pakistan",6,"South Asia","North-West Frontier Province","Dera Ismail Khan",31.82851,70.907234,1,0,"","07/13/2008: On Sunday, in Dera Ismail Khan, North-West Frontier, Pakistan, a suicide bomber detonated an improvised explosive device targeting a vehicle as it was leaving a Shia conference, wounding five civilians and damaging the vehicle. No motive was reported and no group claimed responsibility.",1,1,1,0,NA,".",0,1,1,3,"Bombing/Explosion",NA,".",NA,".",14,"Private Citizens & Property",73,"Vehicles/Transportation","","A vehicle",153,"Pakistan",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","The specific motive for the attack is unknown.",0,NA,NA,1,0,0,NA,".",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",13,"Suicide (carried bodily by human being)",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","A suicide improvised explosive device was used in the attack.",1,0,1,5,0,0,1,3,"Minor (likely < $1 million)",NA,"The attack caused an unknown amount of property damage.",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","Press Trust of India, ""Pak Suicide Blast Injures Four,"" Press Trust of India, July 13, 2008.","National Counterterrorism Center, ""Five Civilians Wounded in Suicide IED Attack in Dera Ismail Khan, North-West Frontier, Pakistan,"" Worldwide Incidents Tracking System, February 02, 2010.","","ISVG",-9,-9,0,-9,""
"88270",200808110037,2008,8,11,"",0,"",153,"Pakistan",6,"South Asia","North-West Frontier Province","Peshawar",34.009667,71.579994,1,0,"","08/11/2008: On Monday morning at 0630, at a hospital in Peshawar, North-West Frontier, Pakistan, a suicide bomber detonated an improvised explosive device, wounding one private security guard, one civilian, and damaging the hospital and a vehicle. No group claimed responsibility.",1,1,1,0,NA,".",0,1,1,3,"Bombing/Explosion",NA,".",NA,".",1,"Business",6,"Medical/Pharmaceutical","","A hospital",153,"Pakistan",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","The specific motive for the attack is unknown.",0,NA,NA,1,0,0,NA,".",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",13,"Suicide (carried bodily by human being)",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","An suicide improvised explosive device was used in the attack.",1,0,1,2,0,0,1,4,"Unknown",NA,"The hospital was damaged and a vehicle was destroyed in the attack.",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"It is unknown if civilians were the target of this attack.","Pakistan Newswire, ""Two Injured in a Suicide Attack on a Local Hospital at Peshawar,"" LexisNexis Academic, Pakistan Newswire, August 12, 2008.","National Counterterrorism Center, ""One Private Security Guard Wounded in IED Attack in Peshawar, North-West Frontier, Pakistan,"" Worldwide Incidents Tracking System, January 20, 2010.","","ISVG",-9,-9,0,-9,""
"88305",200808130030,2008,8,13,"",0,"",153,"Pakistan",6,"South Asia","Punjab","Lahore",31.554606,74.357158,1,0,"","08/13/2008: On Wednesday night at 2334, in Allama Iqbal Town, Lahore, Punjab, Pakistan, at a crowded city square, a suicide bomber detonated the improvised explosive device strapped to his body, killing eight civilians and two police officers; injuring 21 officers and 19 civilians; and damaging a mosque, several buildings and several vehicles. No motive was reported and no group claimed responsibility, although it was widely believed the Taliban was responsible.",1,1,1,0,NA,".",0,1,1,3,"Bombing/Explosion",NA,".",NA,".",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","","Civilians in the city square",153,"Pakistan",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Tehrik-i-Taliban Pakistan (TTP)","","","","",20442,NA,NA,"","The specific motive for the attack is unknown.",1,NA,NA,-99,0,0,NA,".",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",13,"Suicide (carried bodily by human being)",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","A suicide improvised explosive device was used in the attack.",11,0,1,40,0,0,1,4,"Unknown",NA,"A mosque, several buildings and several vehicles were damaged in the attack.",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","National Counterterrorism Center,""Eight Civilians, Two Police Officers Killed, 21 Police Officers, 19 Civilians Injured in Suicide IED Attack by Suspected Taliban in Lahore, Punjab, Pakistan,"" Worldwide Incidents Tracking System, December 16, 2009","Pajhwok Afghan News,""Nine Perish, 23 Wounded in Lahore Suicide Attack,"" Lexisnexis Academic, Pajhwok Afghan News, August 14, 2008.","","ISVG",0,0,0,0,""
"88327",200808140027,2008,8,14,"",0,"",153,"Pakistan",6,"South Asia","Punjab","Lahore",31.554606,74.357158,1,0,"In Allama Iqbal Town neighborhood","08/14/2008: On Thursday, at 2334, nine people were killed and 33 were injured when a suicide bomber blew himself up outside a police station near Moon Market in Allama Iqbal Town neighborhood in Lahore, Punjab, Pakistan. No group claimed responsibility for the attack. Most of those injured were policemen.",1,1,1,0,NA,".",0,1,1,3,"Bombing/Explosion",NA,".",NA,".",3,"Police",25,"Police Security Forces/Officers","","Police",153,"Pakistan",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","","Civilians were targeted.",153,"Pakistan",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","The specific motive for the attack is unknown.",0,NA,NA,1,0,0,NA,".",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",13,"Suicide (carried bodily by human being)",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","A suicide bomber was used in the attack.",9,0,1,33,0,0,-9,NA,".",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"The available sources listed the fatalities for these attacks from eight to nine, and the injuries for these attacks from 30 to 35, so these figures have been averaged in order to preserve statistical accuracy in the database.","Lexis Nexis, ""8 Killed in Pak Suicide Bombing,"" Statesman, August 17, 2008.","Daily Times, ""Suicide Attack on Police Kills Nine, Injures 35 In Lahore,"" Daily Times, August 14, 2008.","Lexis Nexis, ""Nine Killed in Suicide Blast in Pakistan's Lahore,"" BBC Monitoring South Asia, August 14, 2008.","ISVG",-9,-9,0,-9,""
"88420",200808190021,2008,8,19,"",0,"",153,"Pakistan",6,"South Asia","North-West Frontier Province","Dera Ismail Khan",31.82851,70.907234,1,0,"The bombing occurred at a hospital in Dera Ismail Khan, North West Frontier, Pakistan.","08/19/2008: On Tuesday, 27 people were killed and 30 were injured when a suicide bomber blew himself up at a hospital in Dera Ismail Khan, North West Frontier, Pakistan. The Tehrik-e-Taliban Pakistan claimed responsibility for the blast. The attack was in retaliation for the government's actions in Bajaur.",1,1,1,0,NA,".",0,1,1,3,"Bombing/Explosion",NA,".",NA,".",1,"Business",NA,".","","Civilians",153,"Pakistan",1,"Business",6,"Medical/Pharmaceutical","","A hospital was targeted.",153,"Pakistan",NA,".",NA,".","","",NA,".","Tehrik-i-Taliban Pakistan (TTP)","","","","",20442,NA,NA,"","The attack was in retaliation for the government's actions in Bajaur.",0,NA,NA,1,0,1,10,"Unknown",NA,NA,".",NA,NA,".",0,6,"Explosives/Bombs/Dynamite",13,"Suicide (carried bodily by human being)",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","A suicide bomber was used in the attack.",28,0,1,30,0,0,-9,NA,".",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","CNN, ""Taliban Claim Credit for Pakistan Blast,"" Cable News Network, http://www.cnn.com/2008/WORLD/asiapcf/08/20/pakistan.blast/index.html.","BBC, ""Pakistan Hospital Bomb Kills Many,"" BBC, http://news.bbc.co.uk/go/pr/fr/-/2/hi/south_asia/7569786.stm.","","ISVG",0,0,0,0,""
"88441",200808210006,2008,8,21,"",0,"",153,"Pakistan",6,"South Asia","Islamabad Capital Territory","Islamabad",33.708988,73.053857,1,0,"In the town of Wah","08/21/2008: On Thursday, at 1430, two Tehrik-e-Taliban Pakistan suicide bombers attacked a weapons manufacturing complex, the Pakistan Ordnance Factory, in the town of Wah near Islamabad, Punjab, Pakistan. The attack killed 62 people and injured over 100 more. The attack was in response to the military operation in Bajaur that has been attacking Taliban militants. A third bomber was detained near the ordnance factory.",1,1,1,0,NA,".",0,1,1,3,"Bombing/Explosion",NA,".",NA,".",1,"Business",5,"Industrial/Textiles/Factory","Pakistan Ordnance Factory","A weapons manufacturing complex",153,"Pakistan",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Tehrik-i-Taliban Pakistan (TTP)","","","","",20442,NA,NA,"","The attack was in response to the military operation in Bajaur that has been attacking Taliban militants.",0,NA,NA,3,0,1,10,"Unknown",NA,NA,".",NA,NA,".",0,6,"Explosives/Bombs/Dynamite",13,"Suicide (carried bodily by human being)",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","Two suicide bombers were used in the attack.",64,0,2,100,0,0,1,4,"Unknown",NA,"An unknown amount of damage was done to the factory.",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"The available sources listed the fatalities for these attacks from 40 to 78 so these figures have been averaged in order to preserve statistical accuracy in the database.","Lexis Nexis, ""Suicide Bombings Lead to Suffering, Fear,"" Pakistan Newswire, August 27, 2008.","Shams Mohmand, ""Taliban Claim Blasts at Pakistan Ordnance Complex,"" Reuters, August 21, 2008.","Lexis Nexis, ""Death Toll in Twin Suicide Blasts in Pak Rises to 78,"" Press Trust of India, August 22, 2008.","ISVG",0,0,0,0,""
"88721",200809200008,2008,9,20,"",0,"",153,"Pakistan",6,"South Asia","Islamabad Capital Territory","Islamabad",33.708988,73.053857,1,0,"","09/20/2008: On Saturday, at an unknown time, a suicide bomber detonated an explosive-filled truck into the gates of the Marriott Hotel in Islamabad, Pakistan, killing 60 and injuring more than 200.",1,1,1,0,NA,".",0,1,1,3,"Bombing/Explosion",NA,".",NA,".",1,"Business",8,"Hotel/Resort","","The Marriott Hotel in Islamabad, Pakistan.",153,"Pakistan",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","The specific motive for the attack is unknown.",0,NA,NA,1,0,0,NA,".",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",15,"Vehicle",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","The explosive was a suicide vehicle explosive device.",61,0,1,200,0,0,1,2,"Major (likely > $1 million but < $1 billion)",NA,"The hotel was damaged in the attack.",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","Open Source, ""Pakistan Hotel Bombing Kills At Least 60,"" Open Source, September 20th, 2008.","Asian Times Online, ""The Gloves Are Off in Pakistan,"" Asian Times Online, September 23rd, 2008.","National Counterterrorism Center, ""47 Civilians, Six Private Security Guards, Five Soldiers, Two Children, Two Diplomats Killed, 264 Civilians, Three Diplomats, Two Children, One Government Official Injured In Suicide VBIED And Armed Attack In Islamabad, Pakistan,"" Worldwide Incidents Tracking System, September 2nd, 2009.","ISVG",-9,-9,0,-9,""
"89144",200810310001,2008,10,31,"",0,"",153,"Pakistan",6,"South Asia","North-West Frontier Province","Mardan",34.195475,72.047455,1,1,"","10/31/2008: On Friday, a suicide bomber attacked the convoy of a regional police chief in Mardan city, Northwest Frontier Province, Pakistan killing three police and wounding 22 others. The attacker was on foot and hit the first vehicle of the convoy as it emerged from the police chief's residence. No group claimed responsibility.",1,1,1,0,NA,".",0,1,1,3,"Bombing/Explosion",NA,".",NA,".",3,"Police",23,"Police Patrol (including vehicles and convoys)","Northwest Frontier Province Law Enforcement","The target was the regional police chief's convoy.",153,"Pakistan",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","The specific motive for the attack is unknown.",0,NA,NA,1,0,0,NA,".",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",13,"Suicide (carried bodily by human being)",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","The explosive was a suicide improvised explosive device.",9,0,1,22,0,0,1,4,"Unknown",NA,"It is assumed that the convoy was damaged in the attack.",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","Associated Press, ""Official: Suicide Blast Kills Eight in NW Pakistan,"" Associated Press, October 31st, 2008.","","","ISVG",-9,-9,0,-9,""
"89181",200811020019,2008,11,2,"",0,"",153,"Pakistan",6,"South Asia","North-West Frontier Province","Shabqadar",34.217597,71.556177,1,0,"At parade in Shabqadar, Charsadda, North West Frontier, Pakistan.","11/02/2008: On Sunday, a would-be suicide bomber, identified as Sajjad, was arrested in Shabqadar when he was around 200 metres away from the North West Frontier Province Governor, Owais Ahmed Ghan, who was attending the passing-out parade of the Frontier Corps in Charsadda, Pakistan. No group claimed responsibility for the attack.",1,1,1,0,NA,".",0,0,1,1,"Assassination",NA,".",NA,".",2,"Government (General)",18,"Government Personnel (excluding police, military)","","The governor was the target.",153,"Pakistan",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","The specific motive for the attack is unknown.",0,NA,NA,1,1,0,NA,".",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",13,"Suicide (carried bodily by human being)",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","An improvised explosive device was used in the attack.",0,0,0,0,0,0,0,4,"Unknown",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"","BBC Monitoring South Asia, "" Pakistan Police Arrest Suicide Bomber in Northwest"", BBC Worldwide Monitoring, November 02, 2008.","Lahore Daily Times, ""Pakistan: Police Arrest Would-be Suicide Bomber in Charsadda, NWFP"", Lahore Daily Times, November 02, 2008, http://www.dailytimes.com.pk","","ISVG",-9,-9,0,-9,""
"89238",200811060002,2008,11,6,"",0,"",153,"Pakistan",6,"South Asia","Federally Administered Tribal Areas","Bajaur district",34.733076,71.492391,2,1,"In the Batmalai village of Salarza, about 40 kilometeres (25 miles) from Khar","11/06/2008: On Thursday, 17 people were killed and 51 injured when a suicide attacker blew himself up as a government-backed tribal force or ""lashkar"" met in Batmalai village of Salarza, about 40 kilometres (25 miles) from Khar, the main town of Bajaur district, Pakistan. The meeting place was damaged. Some of the killed were identified as Maj (r) Fazal Karim, chief of Salarzai tribe lashkar, Abdul Rehman Khan, Khan Bachai, Malik Shamsur Rehman, Malik Nazir, Zakir Khan and Darwesh Khan.  The local officials informed that all the injured were shifted to Agency Headquarter Hospital while over a dozen, critically wounded, have been shifted to Peshawar via helicopters.  Akhunzada Chattan, MNA from Bajaur Agency, when contacted, confirmed the incident. The Salarzai tribesmen were preparing to stage an assault on local militant hide-outs when the blast occurred, said Iqbal Khattak, a government official. Malik Rahimullah, a tribal elder, said the bomb exploded as soon as armed contingents began to move. Spokesman for the Tehrik-i-Taliban Pakistan (TTP), Abdul Rehman, called an Associated Press reporter and other local journalists claiming responsibility.",1,1,1,0,NA,".",0,1,1,1,"Assassination",NA,".",NA,".",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Sasarzai Lashkar","A Salarzai tribal meeting",153,"Pakistan",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Tehrik-i-Taliban Pakistan (TTP)","","","","",20442,NA,NA,"","The specific motive for the attack is unknown.",0,NA,NA,1,0,1,2,"Call (post-incident)",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",13,"Suicide (carried bodily by human being)",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","An improvised explosive device was used in the attack.",18,0,1,45,0,0,1,4,"Unknown",NA,"The meeting place was damaged.",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"The most recent available sources listed the fatalities for this attack from 8 to 17 to 23, so the majority casualty figures have been used in order to preserve statistical accuracy in the database.      Spokesman for the Tehrik-i-Taliban Pakistan (TTP), Abdul Rehman, called an Associated Press reporter and other local journalists claiming responsibility for the attack.","Agence France Presse / AFP (France), ""Two Suicide Attacks in NW Pakistan Kill 19"", Lexis Nexis, Agence France Presse, November 06, 2008.","Shamim Shahid, ""Bajaur Lashkar Bombed; 23 Dead"", Nation (Pakistan), November 07, 2008.","France24 International News, ""Suspected Suicide Bomber Targets Gathering of Tribal Elders"", France24 International News, November 06, 2008.","ISVG",0,0,0,0,""
"89303",200811110001,2008,11,11,"",0,"",153,"Pakistan",6,"South Asia","North-West Frontier Province","Peshawar",34.009667,71.579994,1,0,"At the Qayum sports stadium in Peshawar.","11/11/2008: On Tuesday evening at about 1800, a suicide bomber blew himself up at the packed Qayum sports stadium in the northwestern Pakistani city of Peshawar, killing four people and wounding 13. The bombing took place at the closing ceremony of a sports event attended by senior government officials including the provincial governor. Among the dead there is one policeman and three civilians. Among the wounded were three security guards. Provincial police chief Malik Naveed told reporters that the bomber was stopped by the police and blew himself up at the gate when he failed to enter the stadium. Bomb disposal officer Hukam Khan said the bomber was around 20 years old and had about eight kilogrammes of explosives strapped to his body. Also a close source revealed Bashir Ahmad Belor's vehicles were damaged in the detonation but the officials escaped unhurt. An eye witness Sher Alam said that the incident damaged other cars and broke window glasses of the nearby houses. No group claimed responsibility.",1,1,1,0,NA,".",0,1,1,1,"Assassination",NA,".",NA,".",14,"Private Citizens & Property",74,"Marketplace/Plaza/Square","Qayum Sports Stadium","The Qayum sports stadium",153,"Pakistan",NA,".",NA,".","","",NA,".",NA,".",NA,".","","",NA,".","Unknown","","","","",-9,NA,NA,"","The specific motive for the attack is unknown.",0,NA,NA,1,0,0,NA,".",NA,NA,".",NA,NA,".",NA,6,"Explosives/Bombs/Dynamite",13,"Suicide (carried bodily by human being)",NA,".",NA,".",NA,".",NA,".",NA,".",NA,".","Eight kilograms of explosives were strapped to the suicide bomber.",4,0,1,13,0,0,1,3,"Minor (likely < $1 million)",NA,"Several cars were damaged and the glass of the windows were broken of nearby houses. The value loss was not reported.",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,".",NA,"It is possible that the provincial Governor and other senior government officials were targeted in the attack.","Agence France Presse / AFP (France), ""Suicide Bomber Kills Four in Northwestern Pakistan: Police"", Lexis Nexis, Agence France Presse, November 11, 2008.","ABC.net.au, ""Four Killed in Pakistan Suicide Bombing"", Lexis Nexis, ABC Premium News (Australia), November 12, 2008.","Pajhwok Afghan News (Afghanistan), ""Three Injured, 11 Injured in Peshawar Suicide Blast"", Lexis Nexis, Pajhwok Afghan News, November 11, 2008.","ISVG",-9,-9,0,-9,""
